accessionNumber,holdingCountry,holdingCity,holdingMuseum,museumLon,museumLat,title,fipCatalogueNumber,objectType,findspot,findspotLatLng
1981.122,USA,Birmingham,Birmingham Museum of Art,-86.80995994962024,33.522194150000004,"False door of ffj, Saqqara [242]",242,False door,Saqqara,
03/00025391,Italy,Asola,Museo Civico G. Bellini,10.412498,45.221527,"Stela of xwj, probably Abydos [426]",426,Stela,Abydos,
2869,Egypt,Aswan,Aswan Museum,32.88704021394081,24.08501845,"False door of mmy, found near Kom Ombo [247]",247,False door,Kom Ombo,
2014.033.001,USA,Atlanta,Michael C. Carlos Museum,-84.32415217347099,33.7904743,"Stela of nb.t-jt(.f), Naga ed-Der",,Stela,Naga ed-Der,
28,Greece,Athens,National Archaeological Museum,23.73295773748378,37.9890123,"False door of ptH-nxt and mrjt-mwt.s, Saqqara [236]",236,False door,Saqqara,
30,Greece,Athens,National Archaeological Museum,23.73295773748378,37.9890123,"False door of sn.t-jt.s, probably Saqqara [495A]",495A,False door,Saqqara,
22.424,USA,Baltimore,Walters Art Museum,-76.61601701714596,39.29700425,"Hybrid false door stela of mHnw, probably Abydos [289]",289,False door,Abydos,
22.85,USA,Baltimore,Walters Art Museum,-76.61601701714596,39.29700425,"Stela of nfr-xAbt, probably Naga ed-Der [326]",326,Stela,Naga ed-Der,
Unknown,Wales,Bangor,Clandeboye Hall,-5.7161,54.6416,"Stela fragment of unknown, Deir el-Bahri [79]",79,Stela,Deir el-Bahri ,
TR 27.4.22.5,Egypt,Beni Suef,"Suef, Beni Suef Museum",31.10130315,29.0840621,"Stela of [j]n-[jt.f], Dra Abu el-Naga [645]",645,Stela,Dra Abu el-Naga,
5-357,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of HqA, unknown [403]",403,Stela,,
6-1073 / 19867,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragment of pAj, Naga ed-Der [231]",231,Stela,Naga ed-Der,
6-1080 / 6-1942,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragments of [w]H[A]j, Naga ed-Der [211]",211,Stela,Naga ed-Der,
6-1081,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragment of nbt-jt(f), Naga ed-Der [310]",310,Stela,Naga ed-Der,
6-1204,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of ppy-snb, Naga ed-Der [11]",11,Stela,Naga ed-Der,
6-1251,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of unknown, Naga ed-Der [614]",614,Stela,Naga ed-Der,
6-1252,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of jn-jt.f-aA, Naga ed-Der [67]",67,Stela,Naga ed-Der,
6-1253,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragment of jtj-aA, Naga ed-Der [177]",177,Stela,Naga ed-Der,
6-1257,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of unknown, Naga ed-Der [634]",634,Stela,Naga ed-Der,
6-1435,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of sfxj, Naga ed-Der [476]",476,Stela,Naga ed-Der,
6-1554,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragment of jr-kmt, Naga ed-Der [154A]",154A,Stela,Naga ed-Der,
6-1576,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of jbw, Naga ed-Der [111]",111,Stela,Naga ed-Der,
6-1589,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of nfr-jwnw/xwy, Naga ed-Der [318]",318,Stela,Naga ed-Der,
6-1655,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of jn-Hrt-nxt, Naga ed-Der [139]",139,Stela,Naga ed-Der,
6-1691,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of Tm-mrry, Naga ed-Der [564]",564,Stela,Naga ed-Der,
6-1847,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of Hnj, Naga ed-Der [373]",373,Stela,Naga ed-Der,
6-1871,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragment of unknown, Naga ed-Der [605]",605,Stela,Naga ed-Der,
6-1873,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of mrw, Naga ed-Der [268]",268,Stela,Naga ed-Der,
Jun-03,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of jn-Hrt-nxt, Naga ed-Der [140]",140,Stela,Naga ed-Der,
Jun-51,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of Hsj, Naga ed-Der [400]",400,Stela,Naga ed-Der,
Jun-42,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of nfr-nHsj, Naga ed-Der [322]",322,Stela,Naga ed-Der,
Jun-63,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of unknown, Naga ed-Der [620]",620,Stela,Naga ed-Der,
Jun-42,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela fragment of unknown and wife smjt-kA, Naga ed-Der [624]",624,Stela,Naga ed-Der,
Jun-14,USA,Berkeley,Hearst Museum,-121.16766494258547,35.68539275,"Stela of smjt-kA, Naga ed-Der [478]",478,Stela,Naga ed-Der,
